ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,review_pool_variant,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,27,https://openalex.org/W4412072225,A Virtual Reality Interface for the Creation of 3D Spatial Audio Trajectories,2025,0,jaes,Music Technology and Sound Studies;3D Surveying and Cultural Heritage,0.598085,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.959784,0.333333,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,28,https://openalex.org/W4410025358,Designing Neural Synthesizers for Low-Latency Interaction,2025,1,jaes,Neural Networks and Applications,0.562475,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.975621,0.666667,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,29,https://openalex.org/W4413998965,"Reductive, Exclusionary, Normalising: The Limits of Generative AI Music",2025,1,tismir,Music Technology and Sound Studies,0.55851,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,1,0.892344,0.666667,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,30,https://openalex.org/W4411141320,Automatic Generation of Virtual Analog Audio Plug-ins based on Wave Digital Filters,2025,0,jaes,Speech and Audio Processing,0.525617,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,1,0.837961,0.666667,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,31,https://openalex.org/W4405710382,Characteristics of Personal Sound and Noise Exposure at Large-Scale Music Events,2024,1,jaes,Noise Effects and Management,0.463481,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.060606,0.857143,0.965994,0.666667,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,32,https://openalex.org/W4405710378,Data-Driven Uncertainty Modeling for Robust Feedback Active Noise Control in Headphones,2024,2,jaes,Advanced Adaptive Filtering Techniques;Control Systems and Identification;Vehicle Noise and Vibration Control,0.365242,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.121212,0.458333,0.863276,0,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,33,https://openalex.org/W7128435442,"Crossmodal counterpoint: from music to multimedia - incongruency, cognitive dissonance, irony, and surrealism",2026,1,,,-0.096709,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.181818,0,0.896387,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,34,https://openalex.org/W4417222068,Sound and music biases in deep music transcription models: a systematic analysis,2025,1,,,-0.122233,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,0,0.996747,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,35,https://openalex.org/W4417363248,"4/4 and more, rhythmic complexity more strongly predicts groove in common meters",2025,1,,,-0.123788,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,0,0.964082,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,36,https://openalex.org/W4415584170,Chinese instrument music source separation with frequency-attentive multi-band neural networks,2025,1,,,-0.129004,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0.090909,0,0.854545,1,true,,,,
rank-bc1123e00c,bridge-v2-nm1-w005-corpusv2-r3-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,37,https://openalex.org/W4405899471,"M6: multi-generator, multi-domain, multi-lingual and cultural, multi-genres, multi-instrument machine-generated music detection databases",2026,0,,,-0.152699,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge signal contributes to final_score for the bridge recommendation family in this run. Semantic score not used.,,0,0,0.993331,1,true,,,,
