baseline_ranking_run_id,experiment_ranking_run_id,experiment_rank,paper_id,title,year,citation_count,source_slug,topics,final_score,bridge_score,reason_short,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-ee2ba6c816,rank-60910a47b4,16,https://openalex.org/W4412072221,Copy-Move Audio Forgery Detection Using Dominant Resonance Frequencies and Dynamic Time Warping,2025,0,jaes,Digital Media Forensic Detection;Music and Audio Processing;Music Technology and Sound Studies,0.65,0.932987,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,,,
rank-ee2ba6c816,rank-60910a47b4,17,https://openalex.org/W4411141538,Generating Music Reactive Videos by Applying Network Bending to Stable Diffusion,2025,0,jaes,Music Technology and Sound Studies;Simulation and Modeling Applications;Video Analysis and Summarization,0.65,0.96786,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,,,
rank-ee2ba6c816,rank-60910a47b4,18,https://openalex.org/W4411141958,Reverse Engineering of Music Mixing Graphs With Differentiable Processors and Iterative Pruning,2025,0,jaes,Music Technology and Sound Studies;Modular Robots and Swarm Intelligence;Cellular Automata and Applications,0.65,0.952644,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,,,
rank-ee2ba6c816,rank-60910a47b4,19,https://openalex.org/W7128600794,Objective Analysis and Perceptual Evaluation of LA-2A Compressors and Vocal Recordings,2026,0,jaes,Music Technology and Sound Studies;Music and Audio Processing;Hearing Loss and Rehabilitation,0.65,0.925665,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,,,
rank-ee2ba6c816,rank-60910a47b4,20,https://openalex.org/W4412072230,Audio Signal Processing in the Artificial Intelligence Era: Challenges and Directions,2025,2,jaes,Music and Audio Processing;Speech and Audio Processing,0.64697,0.908103,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,,,
